"País","Melhora Média No Ganho de Medalhas (%)"
"GRE","51.111111111111114"
"FRA","11.73521716378859"
"EUA","25.540475758114532"
"GBR","55.84113595978998"
"SWE","63.41463414634146"
"BEL","-41.13636363636364"
"FIN","-215.81027667984185"
"AUS","75.43055742510582"
"NED","69.00369003690037"
"GER","74.17144141107741"
"ITA","37.70458265139116"
"JPN","38.72679045092838"
"MEX","80.13888888888889"
"FRG","93.6046511627907"
"CAN","64.58882060286801"
"URS","-203.52303523035232"
"KOR","95.18518518518519"
"ESP","94.10029498525073"
"CHN","87.08433734939759"
"BRA","81.65784832451499"
"Média Total","31.928499353344353"
