Ano,Ordem,Cidade,País,Maior Número de Medalhas,Ouro,Prata,Bronze,Total
1896,I Olimpíada,Atenas,GRE Grécia,USA Estados Unidos,11,7,2,20
1900,II Olimpíada,Paris,FRA França,FRA França,26,41,34,101
1904,III Olimpíada,Saint Louis,USA Estados Unidos,USA Estados Unidos,78,82,79,239
1906,Edição especial,Atenas,GRE Grécia,FRA França,15,9,16,40
1908,IV Olimpíada,Londres,GBR Grã-Bretanha,GBR Grã-Bretanha,56,51,39,146
1912,V Olimpíada,Estocolmo,SWE Suécia,USA Estados Unidos,25,19,19,63
1920,VII Olimpíada,Antuérpia,BEL Bélgica,USA Estados Unidos,41,27,27,95
1924,VIII Olimpíada,Paris,FRA França,USA Estados Unidos,45,27,27,99
1928,IX Olimpíada,Amesterdão,NED Países Baixos,USA Estados Unidos,22,18,16,56
1932,X Olimpíada,Los Angeles,USA Estados Unidos,USA Estados Unidos,41,32,30,103
1936,XI Olimpíada,Berlim,GER Alemanha,GER Alemanha,33,26,30,89
1948,XIV Olimpíada,Londres,GBR Grã-Bretanha,USA Estados Unidos,38,27,19,84
1952,XV Olimpíada,Helsinque,FIN Finlândia,USA Estados Unidos,40,19,17,76
1956,XVI Olimpíada,Melbourne,AUS Austrália,URS União Soviética,37,29,32,98
1960,XVII Olimpíada,Roma,ITA Itália,URS União Soviética,43,29,31,103
1964,XVIII Olimpíada,Tóquio,JPN Japão,USA Estados Unidos,36,26,28,90
1968,XIX Olimpíada,Cidade do México,MEX México,USA Estados Unidos,45,28,34,107
1972,XX Olimpíada,Munique,FRG Alemanha Ocidental,URS União Soviética,50,27,22,99
1976,XXI Olimpíada,Montreal,CAN Canadá,URS União Soviética,49,41,35,125
1980,XXII Olimpíada,Moscou,URS União Soviética,URS União Soviética,80,69,46,195
1984,XXIII Olimpíada,Los Angeles,USA Estados Unidos,USA Estados Unidos,83,61,30,174
1988,XXIV Olimpíada,Seul,KOR Coreia do Sul,URS União Soviética,55,31,46,132
1992,XXV Olimpíada,Barcelona,ESP Espanha,EUN Equipa Unificada,45,38,29,112
1996,XXVI Olimpíada,Atlanta,USA Estados Unidos,USA Estados Unidos,44,32,25,101
2000,XXVII Olimpíada,Sydney,AUS Austrália,USA Estados Unidos,37,24,32,93
2004,XXVIII Olimpíada,Atenas,GRE Grécia,USA Estados Unidos,36,39,26,101
2008,XXIX Olimpíada,Pequim,CHN China,CHN China,51,21,28,100
2012,XXX Olimpíada,Londres,GBR Grã-Bretanha,USA Estados Unidos,46,28,29,103
2016,XXXI Olimpíada,Rio de Janeiro,BRA Brasil,USA Estados Unidos,46,37,38,121
2020,XXXII Olimpíada,Tóquio,JPN Japão,USA Estados Unidos,39,41,33,113
