Colocação;País;Ouro;Prata;Bronze;Total
1;Estados Unidos da América;46;37;38;121
2;República Popular da China;26;18;26;70
3;Reino Unido;27;23;17;67
4;Federação Russa;19;17;20;56
5;França ;10;18;14;42
6;Alemanha ;17;10;15;42
7;Japão;12;8;21;41
8;Austrália ;8;11;10;29
9;Itália ;8;12;8;28
10;Canadá;4;3;15;22
11;República da Coreia;9;3;9;21
12;Brasil;7;6;6;19
13;Países Baixos;8;7;4;19
14;Azerbaijão;1;7;10;18
15;Cazaquistão;3;5;10;18
16;Nova Zelândia;4;9;5;18
17;Espanha ;7;4;6;17
18;Dinamarca ;2;6;7;15
19;Hungria;8;3;4;15
20;Usbequistão;4;2;7;13
21;Quênia;6;6;1;13
22;Polônia;2;3;6;11
23;Ucrânia;2;5;4;11
24;Suécia;2;6;3;11
25;Cuba;5;2;4;11
26;Jamaica;6;3;2;11
27;República Checa;1;2;7;10
28;África do Sul ;2;6;2;10
29;Croácia;5;3;2;10
30;Bielorrússia;1;4;4;9
31;Etiópia ;1;2;5;8
32;Turquia;1;3;4;8
33;Sérvia ;2;4;2;8
34;República Islâmica do Irã;3;1;4;8
35;Colômbia ;3;2;3;8
36;Geórgia;2;1;4;7
37;República Popular Democrática da Coreia;2;3;2;7
38;Suíça;3;2;2;7
39;Bélgica;2;2;2;6
40;Tailândia;2;2;2;6
41;Grécia;3;1;2;6
42;México;-;3;2;5
43;Malásia;-;4;1;5
44;Noruega;-;-;4;4
45;Lituânia;-;1;3;4
46;Romênia;1;1;2;4
47;Eslovênia;1;2;1;4
48;Armênia;1;3;-;4
49;Eslováquia ;2;2;-;4
50;Argentina;3;1;-;4
51;Egito;-;-;3;3
52;Tunísia;-;-;3;3
53;Bulgária ;-;1;2;3
54;Venezuela;-;2;1;3
55;Chinese Taipei;1;-;2;3
56;Indonésia ;1;2;-;3
57;Israel;-;-;2;2
58;Mongólia;-;1;1;2
59;Índia ;-;1;1;2
60;Argélia ;-;2;-;2
61;Irlanda;-;2;-;2
62;Atletas Olímpicos Independentes;1;-;1;2
63;Bahamas;1;-;1;2
64;Costa do Marfim;1;-;1;2
65;Vietnã;1;1;-;2
66;Bahrein;1;1;-;2
67;Portugal;-;-;1;1
68;Emirados Árabes Unidos;-;-;1;1
69;Áustria ;-;-;1;1
70;República Dominicana;-;-;1;1
71;Estônia;-;-;1;1
72;Finlândia ;-;-;1;1
73;Nigéria ;-;-;1;1
74;Marrocos ;-;-;1;1
75;Trindade e Tobago;-;-;1;1
76;Niger;-;1;-;1
77;Granada;-;1;-;1
78;Catar;-;1;-;1
79;Filipinas;-;1;-;1
80;Burúndi;-;1;-;1
81;Jordânia ;1;-;-;1
82;Cingapura;1;-;-;1
83;Fiji;1;-;-;1
84;Tajiquistão;1;-;-;1
85;Porto Rico;1;-;-;1
86;Kosovo;1;-;-;1
