Country,Gold,Silver,Bronze
Singapore,"744,000 USD","372,000 USD","286,000 USD"
Hong Kong,"644,000 USD","322,000 USD","161,000 USD"
Kazakhstan,"250,000 USD","150,000 USD","75,000 USD"
Italy,"212,400 USD","106,200 USD","70,800 USD"
Hungary,"167,500 USD","125,600 USD","95,500 USD"
Russia,"61,000 USD","38,000 USD","26,000 USD"
France,"65,000 USD","25,000 USD","15,000 USD"
USA,"37,500 USD","22,500 USD","15,000 USD"
South Africa,"37,000 USD","19,000 USD","7,000 USD"
Germany,"22,000 USD","17,000 USD","11,000 USD"
Canada,"16,000 USD","12,000 USD","8,000 USD"
Malaysia,"241,000 USD","72,200 USD","24,100 USD"
Brazil,"47,500 USD","28,500 USD","19,000 USD"
Japan,"45,200 USD","18,100 USD","9,045 USD"
Australia,"15,100 USD","11,400 USD","7,600 USD"
