Ranking IDH Global;País;IDH
1;Noruega;0,944
2;Austrália;0,935
3;Suíça;0,930
4;Dinamarca;0,923
5;Países Baixos;0,922
6;Alemanha;0,916
6;Irlanda;0,916
8;Estados Unidos;0,915
9;Canadá;0,913
9;Nova Zelândia;0,913
11;Singapura;0,912
12;Hong Kong, China (SAR);0,910
13;Liechtenstein;0,908
14;Suécia;0,907
14;Reino Unido;0,907
16;Islândia;0,899
17;Coreia (República da);0,898
18;Israel;0,894
19;Luxemburgo;0,892
20;Japão;0,891
21;Bélgica;0,890
22;França;0,888
23;Áustria;0,885
24;Finlândia;0,883
25;Eslovênia;0,880
26;Espanha;0,876
27;Itália;0,873
28;República Tcheca;0,870
29;Grécia;0,865
30;Estônia;0,861
31;Brunei Darussalam;0,856
32;Chipre;0,850
32;Qatar;0,850
34;Andorra;0,845
35;Eslováquia;0,844
36;Polônia;0,843
37;Lituânia;0,839
37;Malta;0,839
39;Arábia Saudita;0,837
40;Argentina;0,836
41;Emirados Árabes Unidos;0,835
42;Chile;0,832
43;Portugal;0,830
44;Hungria;0,828
45;Bahrein;0,824
46;Letônia;0,819
47;Croácia;0,818
48;Kuwait;0,816
49;Montenegro;0,802
50;Belarus;0,798
50;Federação Russa;0,798
52;Omã;0,793
52;Romênia;0,793
52;Uruguai;0,793
55;Bahamas;0,790
56;Cazaquistão;0,788
57;Barbados;0,785
58;Antígua e Barbuda;0,783
59;Bulgária;0,782
60;Palau;0,780
60;Panamá;0,780
62;Malásia;0,779
63;Maurício;0,777
64;Seicheles;0,772
64;Trinidade e Tobago;0,772
66;Sérvia;0,771
67;Cuba;0,769
67;Líbano;0,769
69;Costa Rica;0,766
69;Irã (República Islâmica do);0,766
71;Venezuela (República Bolivariana da);0,762
72;Turquia;0,761
73;Sri Lanka;0,757
74;México;0,756
75;Brasil;0,755
76;Geórgia;0,754
77;São Cristóvão e Nevis;0,752
78;Azerbaijão;0,751
79;Granada;0,750
80;Jordânia;0,748
81;Antiga República Iugoslava da Macedônia;0,747
81;Ucrânia;0,747
83;Argélia;0,736
84;Peru;0,734
85;Albânia;0,733
85;Armênia;0,733
85;Bósnia-Herzegovina;0,733
88;Equador;0,732
89;Santa Lúcia;0,729
90;China;0,727
90;Fiji;0,727
90;Mongólia;0,727
93;Tailândia;0,726
94;Dominica;0,724
94;Líbia;0,724
96;Tunísia;0,721
97;Colômbia;0,720
97;São Vicente e Granadinas;0,720
99;Jamaica;0,719
100;Tonga;0,717
101;Belize;0,715
101;República Dominicana;0,715
103;Suriname;0,714
104;Maldivas;0,706
105;Samoa;0,702
106;Botswana;0,698
107;Moldávia (República da);0,693
108;Egito;0,690
109;Turcomenistão;0,688
110;Gabão;0,684
110;Indonésia;0,684
112;Paraguai;0,679
113;Palestina, Estado da;0,677
114;Uzbequistão;0,675
115;Filipinas;0,668
116;El Salvador;0,666
116;África do Sul;0,666
116;Vietnã;0,666
119;Bolívia (Estado Plurinacional da);0,662
120;Quirquistão;0,655
121;Iraque;0,654
122;Cabo Verde;0,646
123;Micronésia (Estados Federados da);0,640
124;Guiana;0,636
125;Nicarágua;0,631
126;Marrocos;0,628
126;Namíbia;0,628
128;Guatemala;0,627
129;Tajiquistão;0,624
130;Índia;0,609
131;Honduras;0,606
132;Butão;0,605
133;Timor-Leste;0,595
134;Síria, República Árabe da;0,594
134;Vanuatu;0,594
136;Congo;0,591
137;Quiribati;0,590
138;Guiné Equatorial;0,587
139;Zâmbia;0,586
140;Gana;0,579
141;Laos, República Democrática Popular do;0,575
142;Bangladesh;0,570
143;Camboja;0,555
143;São Tomé e Príncipe;0,555
145;Quênia;0,548
145;Nepal;0,548
147;Paquistão;0,538
148;Mianmar;0,536
149;Angola;0,532
150;Suazilândia;0,531
151;Tanzânia (República Unida da);0,521
152;Nigéria;0,514
153;Camarões;0,512
154;Madagascar;0,510
155;Zimbabué;0,509
156;Mauritânia;0,506
156;Ilhas Salomão;0,506
158;Papua-Nova Guiné;0,505
159;Comores;0,503
160;Iêmen;0,498
161;Lesoto;0,497
162;Togo;0,484
163;Haiti;0,483
163;Ruanda;0,483
163;Uganda;0,483
166;Benin;0,480
167;Sudão;0,479
168;Djibouti;0,470
169;Sudão do Sul;0,467
170;Senegal;0,466
171;Afeganistão;0,465
172;Costa do Marfim;0,462
173;Malaui;0,445
174;Etiópia;0,442
175;Gâmbia;0,441
176;Congo (República Democrática do);0,433
177;Libéria;0,430
178;Guinea-Bissau;0,420
179;Mali;0,419
180;Moçambique;0,416
181;Serra Leoa;0,413
182;Guiné Equatorial;0,411
183;Burkina Faso;0,402
184;Burundi;0,400
185;Chade;0,392
186;Eritrea;0,391
187;República Centro Africana;0,350
188;Níger;0.348
